userId,eventName,time,product
1,launch,2023-03-01 10:05:00,
1,register,2023-03-01 10:05:10,
2,launch,2023-03-01 10:10:00,
2,register,2023-03-01 10:10:10,
2,pageVisit,2023-03-01 10:10:20,158.0
3,launch,2023-03-01 10:15:00,
3,register,2023-03-01 10:15:10,
4,launch,2023-03-01 10:20:00,
4,register,2023-03-01 10:20:10,
5,launch,2023-03-01 10:25:00,
6,launch,2023-03-01 10:30:00,
6,register,2023-03-01 10:30:10,
7,launch,2023-03-01 10:35:00,
7,register,2023-03-01 10:35:10,
7,pageVisit,2023-03-01 10:35:20,163.0
7,download,2023-03-01 10:35:30,163.0
8,launch,2023-03-01 10:40:00,
8,register,2023-03-01 10:40:10,
8,pageVisit,2023-03-01 10:40:20,169.0
9,launch,2023-03-01 10:45:00,
9,register,2023-03-01 10:45:10,
9,pageVisit,2023-03-01 10:45:20,101.0
10,launch,2023-03-01 10:50:00,
11,launch,2023-03-01 10:55:00,
11,register,2023-03-01 10:55:10,
11,pageVisit,2023-03-01 10:55:20,100.0
12,launch,2023-03-01 11:00:00,
12,register,2023-03-01 11:00:10,
12,pageVisit,2023-03-01 11:00:20,195.0
13,launch,2023-03-01 11:05:00,
13,register,2023-03-01 11:05:10,
13,pageVisit,2023-03-01 11:05:20,186.0
14,launch,2023-03-01 11:10:00,
14,register,2023-03-01 11:10:10,
14,pageVisit,2023-03-01 11:10:20,123.0
14,download,2023-03-01 11:10:30,123.0
15,launch,2023-03-01 11:15:00,
15,register,2023-03-01 11:15:10,
16,launch,2023-03-01 11:20:00,
17,launch,2023-03-01 11:25:00,
17,register,2023-03-01 11:25:10,
18,launch,2023-03-01 11:30:00,
18,register,2023-03-01 11:30:10,
18,pageVisit,2023-03-01 11:30:20,128.0
19,launch,2023-03-01 11:35:00,
19,register,2023-03-01 11:35:10,
20,launch,2023-03-01 11:40:00,
21,launch,2023-03-01 11:45:00,
21,register,2023-03-01 11:45:10,
21,pageVisit,2023-03-01 11:45:20,175.0
22,launch,2023-03-01 11:50:00,
23,launch,2023-03-01 11:55:00,
23,register,2023-03-01 11:55:10,
23,pageVisit,2023-03-01 11:55:20,152.0
23,download,2023-03-01 11:55:30,152.0
24,launch,2023-03-01 12:00:00,
24,register,2023-03-01 12:00:10,
24,pageVisit,2023-03-01 12:00:20,108.0
25,launch,2023-03-01 12:05:00,
25,register,2023-03-01 12:05:10,
25,pageVisit,2023-03-01 12:05:20,128.0
25,download,2023-03-01 12:05:30,128.0
26,launch,2023-03-01 12:10:00,
26,register,2023-03-01 12:10:10,
26,pageVisit,2023-03-01 12:10:20,166.0
26,download,2023-03-01 12:10:30,166.0
27,launch,2023-03-01 12:15:00,
27,register,2023-03-01 12:15:10,
28,launch,2023-03-01 12:20:00,
28,register,2023-03-01 12:20:10,
28,pageVisit,2023-03-01 12:20:20,115.0
29,launch,2023-03-01 12:25:00,
29,register,2023-03-01 12:25:10,
29,pageVisit,2023-03-01 12:25:20,122.0
29,download,2023-03-01 12:25:30,122.0
29,buy,2023-03-01 12:25:40,122.0
30,launch,2023-03-01 12:30:00,
30,register,2023-03-01 12:30:10,
30,pageVisit,2023-03-01 12:30:20,118.0
30,download,2023-03-01 12:30:30,118.0
31,launch,2023-03-01 12:35:00,
31,register,2023-03-01 12:35:10,
31,pageVisit,2023-03-01 12:35:20,172.0
31,download,2023-03-01 12:35:30,172.0
32,launch,2023-03-01 12:40:00,
32,register,2023-03-01 12:40:10,
32,pageVisit,2023-03-01 12:40:20,177.0
33,launch,2023-03-01 12:45:00,
33,register,2023-03-01 12:45:10,
33,pageVisit,2023-03-01 12:45:20,161.0
33,download,2023-03-01 12:45:30,161.0
33,buy,2023-03-01 12:45:40,161.0
34,launch,2023-03-01 12:50:00,
34,register,2023-03-01 12:50:10,
34,pageVisit,2023-03-01 12:50:20,188.0
34,download,2023-03-01 12:50:30,188.0
34,buy,2023-03-01 12:50:40,188.0
35,launch,2023-03-01 12:55:00,
35,register,2023-03-01 12:55:10,
36,launch,2023-03-01 13:00:00,
36,register,2023-03-01 13:00:10,
36,pageVisit,2023-03-01 13:00:20,169.0
37,launch,2023-03-01 13:05:00,
37,register,2023-03-01 13:05:10,
38,launch,2023-03-01 13:10:00,
38,register,2023-03-01 13:10:10,
39,launch,2023-03-01 13:15:00,
39,register,2023-03-01 13:15:10,
40,launch,2023-03-01 13:20:00,
40,register,2023-03-01 13:20:10,
41,launch,2023-03-01 13:25:00,
41,register,2023-03-01 13:25:10,
42,launch,2023-03-01 13:30:00,
42,register,2023-03-01 13:30:10,
43,launch,2023-03-01 13:35:00,
43,register,2023-03-01 13:35:10,
44,launch,2023-03-01 13:40:00,
44,register,2023-03-01 13:40:10,
45,launch,2023-03-01 13:45:00,
46,launch,2023-03-01 13:50:00,
46,register,2023-03-01 13:50:10,
46,pageVisit,2023-03-01 13:50:20,165.0
47,launch,2023-03-01 13:55:00,
47,register,2023-03-01 13:55:10,
48,launch,2023-03-01 14:00:00,
48,register,2023-03-01 14:00:10,
49,launch,2023-03-01 14:05:00,
50,launch,2023-03-01 14:10:00,
50,register,2023-03-01 14:10:10,
50,pageVisit,2023-03-01 14:10:20,129.0
50,download,2023-03-01 14:10:30,129.0
51,launch,2023-03-01 14:15:00,
51,register,2023-03-01 14:15:10,
51,pageVisit,2023-03-01 14:15:20,140.0
51,download,2023-03-01 14:15:30,140.0
51,buy,2023-03-01 14:15:40,140.0
52,launch,2023-03-01 14:20:00,
52,register,2023-03-01 14:20:10,
53,launch,2023-03-01 14:25:00,
54,launch,2023-03-01 14:30:00,
54,register,2023-03-01 14:30:10,
54,pageVisit,2023-03-01 14:30:20,126.0
55,launch,2023-03-01 14:35:00,
55,register,2023-03-01 14:35:10,
55,pageVisit,2023-03-01 14:35:20,161.0
55,download,2023-03-01 14:35:30,161.0
56,launch,2023-03-01 14:40:00,
57,launch,2023-03-01 14:45:00,
57,register,2023-03-01 14:45:10,
58,launch,2023-03-01 14:50:00,
58,register,2023-03-01 14:50:10,
58,pageVisit,2023-03-01 14:50:20,159.0
59,launch,2023-03-01 14:55:00,
59,register,2023-03-01 14:55:10,
59,pageVisit,2023-03-01 14:55:20,107.0
59,download,2023-03-01 14:55:30,107.0
59,buy,2023-03-01 14:55:40,107.0
60,launch,2023-03-01 15:00:00,
60,register,2023-03-01 15:00:10,
